,Country,Population_2020,Land Area_Km²,Density_P/Km²
0,Afghanistan,38928346,652860,60
1,Albania,2877797,27400,105
2,Algeria,43851044,2381740,18
3,Andorra,77265,470,164
4,Angola,32866272,1246700,26
5,Antigua and Barbuda,97929,440,223
6,Argentina,45195774,2736690,17
7,Armenia,2963243,28470,104
8,Australia,25499884,7682300,3
9,Austria,9006398,82409,109
10,Azerbaijan,10139177,82658,123
11,Bahamas,393244,10010,39
12,Bahrain,1701575,760,2239
13,Bangladesh,164689383,130170,1265
14,Barbados,287375,430,668
15,Belarus,9449323,202910,47
16,Belgium,11589623,30280,383
17,Belize,397628,22810,17
18,Benin,12123200,112760,108
19,Bhutan,771608,38117,20
20,Bolivia,11673021,1083300,11
21,Bosnia and Herzegovina,3280819,51000,64
22,Botswana,2351627,566730,4
23,Brazil,212559417,8358140,25
24,Brunei ,437479,5270,83
25,Bulgaria,6948445,108560,64
26,Burkina Faso,20903273,273600,76
27,Burundi,11890784,25680,463
28,Côte d'Ivoire,26378274,318000,83
29,Cabo Verde,555987,4030,138
30,Cambodia,16718965,176520,95
31,Cameroon,26545863,472710,56
32,Canada,37742154,9093510,4
33,Central African Republic,4829767,622980,8
34,Chad,16425864,1259200,13
35,Chile,19116201,743532,26
36,China,1439323776,9388211,153
37,Colombia,50882891,1109500,46
38,Comoros,869601,1861,467
39,Congo (Congo-Brazzaville),5518087,341500,16
40,Costa Rica,5094118,51060,100
41,Croatia,4105267,55960,73
42,Cuba,11326616,106440,106
43,Cyprus,1207359,9240,131
44,Czechia (Czech Republic),10708981,77240,139
45,Democratic Republic of the Congo,89561403,2267050,40
46,Denmark,5792202,42430,137
47,Djibouti,988000,23180,43
48,Dominica,71986,750,96
49,Dominican Republic,10847910,48320,225
50,Ecuador,17643054,248360,71
51,Egypt,102334404,995450,103
52,El Salvador,6486205,20720,313
53,Equatorial Guinea,1402985,28050,50
54,Eritrea,3546421,101000,35
55,Estonia,1326535,42390,31
56,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
57,Ethiopia,114963588,1000000,115
58,Fiji,896445,18270,49
59,Finland,5540720,303890,18
60,France,65273511,547557,119
61,Gabon,2225734,257670,9
62,Gambia,2416668,10120,239
63,Georgia,3989167,69490,57
64,Germany,83783942,348560,240
65,Ghana,31072940,227540,137
66,Greece,10423054,128900,81
67,Grenada,112523,340,331
68,Guatemala,17915568,107160,167
69,Guinea,13132795,245720,53
70,Guinea-Bissau,1968001,28120,70
71,Guyana,786552,196850,4
72,Haiti,11402528,27560,414
73,Holy See,801,0,2003
74,Honduras,9904607,111890,89
75,Hungary,9660351,90530,107
76,Iceland,341243,100250,3
77,India,1380004385,2973190,464
78,Indonesia,273523615,1811570,151
79,Iran,83992949,1628550,52
80,Iraq,40222493,434320,93
81,Ireland,4937786,68890,72
82,Israel,8655535,21640,400
83,Italy,60461826,294140,206
84,Jamaica,2961167,10830,273
85,Japan,126476461,364555,347
86,Jordan,10203134,88780,115
87,Kazakhstan,18776707,2699700,7
88,Kenya,53771296,569140,94
89,Kiribati,119449,810,147
90,Kuwait,4270571,17820,240
91,Kyrgyzstan,6524195,191800,34
92,Laos,7275560,230800,32
93,Latvia,1886198,62200,30
94,Lebanon,6825445,10230,667
95,Lesotho,2142249,30360,71
96,Liberia,5057681,96320,53
97,Libya,6871292,1759540,4
98,Liechtenstein,38128,160,238
99,Lithuania,2722289,62674,43
100,Luxembourg,625978,2590,242
101,Madagascar,27691018,581795,48
102,Malawi,19129952,94280,203
103,Malaysia,32365999,328550,99
104,Maldives,540544,300,1802
105,Mali,20250833,1220190,17
106,Malta,441543,320,1380
107,Marshall Islands,59190,180,329
108,Mauritania,4649658,1030700,5
109,Mauritius,1271768,2030,626
110,Mexico,128932753,1943950,66
111,Micronesia,115023,700,164
112,Moldova,4033963,32850,123
113,Monaco,39242,1,26337
114,Mongolia,3278290,1553560,2
115,Montenegro,628066,13450,47
116,Morocco,36910560,446300,83
117,Mozambique,31255435,786380,40
118,Myanmar (formerly Burma),54409800,653290,83
119,Namibia,2540905,823290,3
120,Nauru,10824,20,541
121,Nepal,29136808,143350,203
122,Netherlands,17134872,33720,508
123,New Zealand,4822233,263310,18
124,Nicaragua,6624554,120340,55
125,Niger,24206644,1266700,19
126,Nigeria,206139589,910770,226
127,North Korea,25778816,120410,214
128,North Macedonia,2083374,25220,83
129,Norway,5421241,365268,15
130,Oman,5106626,309500,16
131,Pakistan,220892340,770880,287
132,Palau,18094,460,39
133,Palestine State,5101414,6020,847
134,Panama,4314767,74340,58
135,Papua New Guinea,8947024,452860,20
136,Paraguay,7132538,397300,18
137,Peru,32971854,1280000,26
138,Philippines,109581078,298170,368
139,Poland,37846611,306230,124
140,Portugal,10196709,91590,111
141,Qatar,2881053,11610,248
142,Romania,19237691,230170,84
143,Russia,145934462,16376870,9
144,Rwanda,12952218,24670,525
145,Saint Kitts and Nevis,53199,260,205
146,Saint Lucia,183627,610,301
147,Saint Vincent and the Grenadines,110940,390,284
148,Samoa,198414,2830,70
149,San Marino,33931,60,566
150,Sao Tome and Principe,219159,960,228
151,Saudi Arabia,34813871,2149690,16
152,Senegal,16743927,192530,87
153,Serbia,8737371,87460,100
154,Seychelles,98347,460,214
155,Sierra Leone,7976983,72180,111
156,Singapore,5850342,700,8358
157,Slovakia,5459642,48088,114
158,Slovenia,2078938,20140,103
159,Solomon Islands,686884,27990,25
160,Somalia,15893222,627340,25
161,South Africa,59308690,1213090,49
162,South Korea,51269185,97230,527
163,South Sudan,11193725,610952,18
164,Spain,46754778,498800,94
165,Sri Lanka,21413249,62710,341
166,Sudan,43849260,1765048,25
167,Suriname,586632,156000,4
168,Sweden,10099265,410340,25
169,Switzerland,8654622,39516,219
170,Syria,17500658,183630,95
171,Tajikistan,9537645,139960,68
172,Tanzania,59734218,885800,67
173,Thailand,69799978,510890,137
174,Timor-Leste,1318445,14870,89
175,Togo,8278724,54390,152
176,Tonga,105695,720,147
177,Trinidad and Tobago,1399488,5130,273
178,Tunisia,11818619,155360,76
179,Turkey,84339067,769630,110
180,Turkmenistan,6031200,469930,13
181,Tuvalu,11792,30,393
182,Uganda,45741007,199810,229
183,Ukraine,43733762,579320,75
184,United Arab Emirates,9890402,83600,118
185,United Kingdom,67886011,241930,281
186,United States of America,331002651,9147420,36
