Country,GA_Name,Formed,Description,Off_website,Address,Jurisdiction,wiki_infobox
Afghanistan,Independent Election Commission,,"The Independent Election Commission of Afghanistan is the national electoral commission of Afghanistan, which is responsible for administering and supervising elections and referenda under the Constitution of Afghanistan.",www.iec.org.af,,Afghanistan,"{'.mw-parser-output .nobold{font-weight:normal}د افغانستان اسلامي جمهوریت (pashto)جمهوری اسلامی افغانستان': '.mw-parser-output .nobold{font-weight:normal}د افغانستان اسلامي جمهوریت (Pashto)جمهوری اسلامی افغانستان', 'agency overview': 'Agency overview', 'jurisdiction': 'Afghanistan', 'agency executives': 'Najeebullah Ahmadza, ChairZiaul Haq Amarkhel[1], Secretary', 'website': 'www.iec.org.af'}"
Afghanistan,Ministry of Public Health of Afghanistan,,Afghanistan Ministry of Public Health is the ministry of the government of Afghanistan which deals with matters concerning the health of Afghanistan's population. As of 2015 the minister of Health is Dr. Ferozuddin Feroz.,http://moph.gov.af/en,"Charahi-e-Masoud, Airport Road Kabul, Afghanistan",Government of Afghanistan,"{'jurisdiction': 'Government of Afghanistan', 'headquarters': 'Charahi-e-Masoud, Airport Road Kabul, Afghanistan', 'minister responsible': 'Minister Dr. Ferozuddin Feroz', 'deputy ministers responsible': 'Ms. Diwa SamadFeda Mohammad PaikanMamosai Ziwar', 'website': 'http://moph.gov.af/en'}"
Afghanistan,Ministry of Counter Narcotics,,"The Ministry of Counter Narcotics is a ministry within the government of Afghanistan. It is currently headed by Salamat Azimi. Her predecessor was Mobarez Rashidi.The ministry leads the coordination, policy making, monitoring and evaluation of all counter-narcotics activities and efforts.",mcn.gov.af,,Government of Afghanistan,"{'pashto: د مخدره موادو پر ضد وزارت\u200epersian: وزارت مبارزه عليه مواد مخدر\u200e': 'Pashto: د مخدره موادو پر ضد وزارت\u200ePersian: وزارت مبارزه عليه مواد مخدر\u200e', 'agency overview': 'Agency overview', 'jurisdiction': 'Government of Afghanistan', 'minister responsible': 'Salamat Azimi, Minister of Counter Narcotics', 'website': 'mcn.gov.af'}"
Afghanistan,Ministry of Finance of Afghanistan,,"The Ministry of Finance of Afghanistan is responsible for the implementation and execution of the budget, collection of taxes, organization, and control of public expenses in Afghanistan; it also controls the management of the Custom Affairs.",https://mof.gov.af/,"Kabul, Afghanistan",Government of Afghanistan,"{'jurisdiction': 'Government of Afghanistan', 'headquarters': 'Kabul, Afghanistan', 'minister responsible': 'Mohammad Qayoumi', 'website': 'https://mof.gov.af/'}"
Afghanistan,Ministry of Women's Affairs,,Afghan Ministry of Women's Affairs is a ministry in the Afghan government which was established in late 2001 by Afghan Interim Administration.MOWA is the lead agency for promoting women's rights and advancement in Afghanistan.,,,,
Afghanistan,Ministry of Foreign Affairs,,The Afghan Ministry of Foreign Affairs is the ministry responsible for managing the Foreign relations of Afghanistan.,Official Website Ministry of Foreign Affairs,,,"{'official emblem': 'Official Emblem', 'incumbentmohammad hanif atmar (acting minister)since\xa01 february 2015': 'IncumbentMohammad Hanif Atmar (Acting minister)since\xa01 February 2015', 'appointer': 'President of Afghanistan', 'term length': 'Five years, renewable', 'inaugural holder': 'Mirza Ghulam Mohammad Mir Munsi', 'website': 'Official Website Ministry of Foreign Affairs'}"
Afghanistan,Ministry of Defense,,"The Afghan Ministry of Defense is an organ of the Government of Afghanistan, overseeing the Afghan Armed Forces. Its headquarters is located in Kabul.The defense minister is nominated by the President of Afghanistan and the National Assembly makes the final approval.",www.mod.gov.af,Kabul,,"{'Pashto: د افغانستان ملی دفاع وزارت\u200e Dari: وزارت دفاع افغانستان\u200e': 'Pashto: د افغانستان ملی دفاع وزارت\u200e Dari: وزارت دفاع افغانستان\u200e', nan: nan, 'Department overview': 'Department overview', 'Jurisdiction': 'Afghanistan', 'Headquarters': 'Kabul', 'Minister responsible': 'Asadullah Khalid', 'Website': 'www.mod.gov.af'}"
Afghanistan,"Ministry of Agriculture, Irrigation and Livestock",,"The Afghan Minister of Agriculture, Irrigation &amp; Livestock is the Government of Afghanistan Cabinet officer responsible for managing Afghanistan's agriculture policy.Among other matters, the Ministry oversees the work of the Helmand and Arghandab Valley Authority.",mail.gov.af,Kabul,,"{nan: nan, 'Department overview': 'Department overview', 'Jurisdiction': 'Afghanistan', 'Headquarters': 'Kabul', 'Minister responsible': 'Nasir Ahmad Durrani, Minister of Agriculture', 'Website': 'mail.gov.af'}"
Afghanistan,Ministry of Transport and Civil Aviation,,"The Afghan Ministry of Transport and Civil Aviation is the Afghan Government Ministry in charge of the management of air and ground transportation, operation of airports and the national airline, as well as numerous other state owned enterprises engaged in the transport business.",transport.gov.lk,"7th Floor, Sethsiripaya, Stage II, Battaramulla, Sri Lanka6°55′37.80″N 79°51′35.70″E﻿ / ﻿6.9271667°N 79.8599167°ECoordinates: 6°55′37.80″N 79°51′35.70″E﻿ / ﻿6.9271667°N 79.8599167°E",,"{nan: nan, 'Ministry overview': 'Ministry overview', 'Jurisdiction': 'Government of Sri Lanka', 'Headquarters': '7th Floor, Sethsiripaya, Stage II, Battaramulla, Sri Lanka6°55′37.80″N 79°51′35.70″E\ufeff / \ufeff6.9271667°N 79.8599167°ECoordinates: 6°55′37.80″N 79°51′35.70″E\ufeff / \ufeff6.9271667°N 79.8599167°E', 'Annual budget': 'Rs. 17 billion (2016, recurrent)Rs. 42 billion (2016, capital)', 'Minister responsible': 'Arjuna Ranatunga, Minister of Transport and Civil Aviation', 'Deputy Minister responsible': 'Ashoka Abeysinghe, State Minister of Transport and Civil Aviation', 'Ministry executive': 'L.P. Jayampathy, Secretary', 'Child agencies': 'Airport and Aviation ServicesCivil Aviation AuthorityDepartment of Motor TrafficNational Transport CommissionNational Transport Medical InstituteSri Lanka RailwaysSri Lanka Transport Board', 'Website': 'transport.gov.lk'}"
Afghanistan,Ministry of Communications and Information Technology,,The Ministry of Communications and Information Technology is an organ of the government of Afghanistan. Current communications minister is Shahzad Aryobee. The Ministry was subjected to a suicide attack in 2019.,meity.gov.in,"Electronics Niketan, 6, CGO Complex,Lodhi Road, New Delhi - 110003",Government of India,"{'emblem of india': 'Emblem of India', 'ministry overview': 'Ministry overview', 'dissolved': '5 July 2016[citation needed]', 'superseding agencies': 'Ministry of CommunicationsMinistry of Electronics and Information Technology', 'jurisdiction': 'Government of India', 'headquarters': 'Electronics Niketan, 6, CGO Complex,Lodhi Road, New Delhi - 110003', 'website': 'meity.gov.in'}"
